sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description,embed_data
184,"Physicist, Light",2111.0400,2111.25,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Physicists and Astronomers,"Physicist, Light belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Physicist, Light NCO 2015: 2111.0400, NCO 2004: 2111.25 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Physicists and Astronomers. Description: Physicist, Light belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division."
185,"Physicist, Sound",2111.0500,2111.30,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Physicists and Astronomers,"Physicist, Sound belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Physicist, Sound NCO 2015: 2111.0500, NCO 2004: 2111.30 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Physicists and Astronomers. Description: Physicist, Sound belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division."
186,"Physicist, Electricity and Magnetism",2111.0600,2111.35,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Physicists and Astronomers,"Physicist, Electricity and Magnetism belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Physicist, Electricity and Magnetism NCO 2015: 2111.0600, NCO 2004: 2111.35 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Physicists and Astronomers. Description: Physicist, Electricity and Magnetism belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division."
187,"Physicist, Electronics",2111.0700,2111.40,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Physicists and Astronomers,"Physicist, Electronics belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Physicist, Electronics NCO 2015: 2111.0700, NCO 2004: 2111.40 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Physicists and Astronomers. Description: Physicist, Electronics belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division."
188,"Physicist, Nuclear",2111.0800,2111.50,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Physicists and Astronomers,"Physicist, Nuclear belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Physicist, Nuclear NCO 2015: 2111.0800, NCO 2004: 2111.50 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Physicists and Astronomers. Description: Physicist, Nuclear belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division."
189,Astronomer,2111.0900,2111.60,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Physicists and Astronomers,Astronomer belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Astronomer NCO 2015: 2111.0900, NCO 2004: 2111.60 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Physicists and Astronomers. Description: Astronomer belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division."
190,Metrologist,2111.1000,2119.10,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Physicists and Astronomers,Metrologist belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Metrologist NCO 2015: 2111.1000, NCO 2004: 2119.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Physicists and Astronomers. Description: Metrologist belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division."
191,Material Scientist,2111.1100,2119.20,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Physicists and Astronomers,Material Scientist belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Material Scientist NCO 2015: 2111.1100, NCO 2004: 2119.20 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Physicists and Astronomers. Description: Material Scientist belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division."
192,"Physicists and Astronomers, Other",2111.9900,2111.90,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Physicists and Astronomers,"Physicists and Astronomers, Other belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Physicists and Astronomers, Other NCO 2015: 2111.9900, NCO 2004: 2111.90 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Physicists and Astronomers. Description: Physicists and Astronomers, Other belongs to the Physicists and Astronomers family under Physical and Earth Science Professionals group in the Professionals division."
193,Meteorologist,2112.0100,2112.10,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Meteorologists,Meteorologist belongs to the Meteorologists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Meteorologist NCO 2015: 2112.0100, NCO 2004: 2112.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Meteorologists. Description: Meteorologist belongs to the Meteorologists family under Physical and Earth Science Professionals group in the Professionals division."
194,"Meteorologists, Other",2112.9900,2112.90,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Meteorologists,"Meteorologists, Other belongs to the Meteorologists family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Meteorologists, Other NCO 2015: 2112.9900, NCO 2004: 2112.90 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Meteorologists. Description: Meteorologists, Other belongs to the Meteorologists family under Physical and Earth Science Professionals group in the Professionals division."
195,"Chemist, General",2113.0100,2113.10,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,"Chemist, General belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Chemist, General NCO 2015: 2113.0100, NCO 2004: 2113.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Chemist, General belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
196,"Chemist, Organic",2113.0200,2113.20,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,"Chemist, Organic belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Chemist, Organic NCO 2015: 2113.0200, NCO 2004: 2113.20 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Chemist, Organic belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
197,"Chemist, Inorganic",2113.0300,2113.30,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,"Chemist, Inorganic belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Chemist, Inorganic NCO 2015: 2113.0300, NCO 2004: 2113.30 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Chemist, Inorganic belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
198,"Chemist, Physical",2113.0400,2113.40,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,"Chemist, Physical belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Chemist, Physical NCO 2015: 2113.0400, NCO 2004: 2113.40 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Chemist, Physical belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
199,"Chemist, Analytical",2113.0500,2113.50,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,"Chemist, Analytical belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Chemist, Analytical NCO 2015: 2113.0500, NCO 2004: 2113.50 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Chemist, Analytical belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
200,"Chemist, Industrial",2113.0600,2113.60,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,"Chemist, Industrial belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Chemist, Industrial NCO 2015: 2113.0600, NCO 2004: 2113.60 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Chemist, Industrial belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
201,Quality Control Chemist,2113.0601,,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,Quality Control Chemist belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Quality Control Chemist NCO 2015: 2113.0601, NCO 2004: nan belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Quality Control Chemist belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
202,Lab Chemist – Finished Product Testing,2113.0621,,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,Lab Chemist – Finished Product Testing belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Lab Chemist – Finished Product Testing NCO 2015: 2113.0621, NCO 2004: nan belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Lab Chemist – Finished Product Testing belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
203,Lab Chemist – Incoming Raw Material Testing,2113.0622,,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,Lab Chemist – Incoming Raw Material Testing belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Lab Chemist – Incoming Raw Material Testing NCO 2015: 2113.0622, NCO 2004: nan belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Lab Chemist – Incoming Raw Material Testing belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
204,Lab Chemist – Compound Testing – Batch Release,2113.0623,,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,Lab Chemist – Compound Testing – Batch Release belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Lab Chemist – Compound Testing – Batch Release NCO 2015: 2113.0623, NCO 2004: nan belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Lab Chemist – Compound Testing – Batch Release belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
205,Lab Chemist – Cured Compound Testing,2113.0624,,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,Lab Chemist – Cured Compound Testing belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Lab Chemist – Cured Compound Testing NCO 2015: 2113.0624, NCO 2004: nan belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Lab Chemist – Cured Compound Testing belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
206,"Chemist, Forensic Science",2113.0800,2113.80,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,"Chemist, Forensic Science belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Chemist, Forensic Science NCO 2015: 2113.0800, NCO 2004: 2113.80 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Chemist, Forensic Science belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
207,Quality Assurance Chemist,2113.0901,,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,Quality Assurance Chemist belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Quality Assurance Chemist NCO 2015: 2113.0901, NCO 2004: nan belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Quality Assurance Chemist belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
208,"Chemists, Other",2113.9900,2113.90,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Chemists,"Chemists, Other belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Chemists, Other NCO 2015: 2113.9900, NCO 2004: 2113.90 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Chemists. Description: Chemists, Other belongs to the Chemists family under Physical and Earth Science Professionals group in the Professionals division."
209,Geologist,2114.0100,2114.10,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Geologists and Geophysicists,Geologist belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Geologist NCO 2015: 2114.0100, NCO 2004: 2114.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Geologists and Geophysicists. Description: Geologist belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division."
210,Petrologists,2114.0200,2114.20,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Geologists and Geophysicists,Petrologists belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Petrologists NCO 2015: 2114.0200, NCO 2004: 2114.20 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Geologists and Geophysicists. Description: Petrologists belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division."
211,Palaeontologist,2114.0300,2114.30,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Geologists and Geophysicists,Palaeontologist belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Palaeontologist NCO 2015: 2114.0300, NCO 2004: 2114.30 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Geologists and Geophysicists. Description: Palaeontologist belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division."
212,Geophysicist,2114.0400,2114.40,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Geologists and Geophysicists,Geophysicist belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Geophysicist NCO 2015: 2114.0400, NCO 2004: 2114.40 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Geologists and Geophysicists. Description: Geophysicist belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division."
213,Hydrologist,2114.0500,2114.50,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Geologists and Geophysicists,Hydrologist belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Hydrologist NCO 2015: 2114.0500, NCO 2004: 2114.50 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Geologists and Geophysicists. Description: Hydrologist belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division."
214,Mineralogist,2114.0600,2114.60,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Geologists and Geophysicists,Mineralogist belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Mineralogist NCO 2015: 2114.0600, NCO 2004: 2114.60 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Geologists and Geophysicists. Description: Mineralogist belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division."
215,Seismologist,2114.0700,2114.70,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Geologists and Geophysicists,Seismologist belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Seismologist NCO 2015: 2114.0700, NCO 2004: 2114.70 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Geologists and Geophysicists. Description: Seismologist belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division."
216,Oceanographer,2114.0800,2114.80,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Geologists and Geophysicists,Oceanographer belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division.,"The occupation Oceanographer NCO 2015: 2114.0800, NCO 2004: 2114.80 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Geologists and Geophysicists. Description: Oceanographer belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division."
217,"Geologist, Petroleum",2114.1500,2114.15,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Geologists and Geophysicists,"Geologist, Petroleum belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Geologist, Petroleum NCO 2015: 2114.1500, NCO 2004: 2114.15 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Geologists and Geophysicists. Description: Geologist, Petroleum belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division."
218,"Hydrographer, Waterworks",2114.5500,2114.55,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Geologists and Geophysicists,"Hydrographer, Waterworks belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Hydrographer, Waterworks NCO 2015: 2114.5500, NCO 2004: 2114.55 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Geologists and Geophysicists. Description: Hydrographer, Waterworks belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division."
219,"Geologists and Geophysicists, Other",2114.9900,2114.90,Professionals,Science and Engineering Professionals,Physical and Earth Science Professionals,Geologists and Geophysicists,"Geologists and Geophysicists, Other belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division.","The occupation Geologists and Geophysicists, Other NCO 2015: 2114.9900, NCO 2004: 2114.90 belongs to division Professionals, subdivision Science and Engineering Professionals, group Physical and Earth Science Professionals, and family Geologists and Geophysicists. Description: Geologists and Geophysicists, Other belongs to the Geologists and Geophysicists family under Physical and Earth Science Professionals group in the Professionals division."
220,Associate – Analytics,2120.0501,,Professionals,Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians","Associate – Analytics belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division.","The occupation Associate – Analytics NCO 2015: 2120.0501, NCO 2004: nan belongs to division Professionals, subdivision Science and Engineering Professionals, group Mathematicians, Actuaries and Statisticians, and family Mathematicians, Actuaries and Statisticians. Description: Associate – Analytics belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division."
221,"Mathematicians, Actuaries and Statisticians, Other",2120.9900,2122.90,Professionals,Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians, Other belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division.","The occupation Mathematicians, Actuaries and Statisticians, Other NCO 2015: 2120.9900, NCO 2004: 2122.90 belongs to division Professionals, subdivision Science and Engineering Professionals, group Mathematicians, Actuaries and Statisticians, and family Mathematicians, Actuaries and Statisticians. Description: Mathematicians, Actuaries and Statisticians, Other belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division."
222,Mathematician,2120.0100,2121.10,Professionals,Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians","Mathematician belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division.","The occupation Mathematician NCO 2015: 2120.0100, NCO 2004: 2121.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Mathematicians, Actuaries and Statisticians, and family Mathematicians, Actuaries and Statisticians. Description: Mathematician belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division."
223,Actuary,2120.0200,2121.20,Professionals,Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians","Actuary belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division.","The occupation Actuary NCO 2015: 2120.0200, NCO 2004: 2121.20 belongs to division Professionals, subdivision Science and Engineering Professionals, group Mathematicians, Actuaries and Statisticians, and family Mathematicians, Actuaries and Statisticians. Description: Actuary belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division."
224,Statistician,2120.0300,2122.10,Professionals,Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians","Statistician belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division.","The occupation Statistician NCO 2015: 2120.0300, NCO 2004: 2122.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Mathematicians, Actuaries and Statisticians, and family Mathematicians, Actuaries and Statisticians. Description: Statistician belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division."
225,"Statistician, Applied",2120.0400,2122.20,Professionals,Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians","Statistician, Applied belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division.","The occupation Statistician, Applied NCO 2015: 2120.0400, NCO 2004: 2122.20 belongs to division Professionals, subdivision Science and Engineering Professionals, group Mathematicians, Actuaries and Statisticians, and family Mathematicians, Actuaries and Statisticians. Description: Statistician, Applied belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division."
226,Operation Research Analyst,2120.0500,2122.30,Professionals,Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians","Operation Research Analyst belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division.","The occupation Operation Research Analyst NCO 2015: 2120.0500, NCO 2004: 2122.30 belongs to division Professionals, subdivision Science and Engineering Professionals, group Mathematicians, Actuaries and Statisticians, and family Mathematicians, Actuaries and Statisticians. Description: Operation Research Analyst belongs to the Mathematicians, Actuaries and Statisticians family under Mathematicians, Actuaries and Statisticians group in the Professionals division."
227,Plant Pathologist,2131.1500,2212.70,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Plant Pathologist belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division.","The occupation Plant Pathologist NCO 2015: 2131.1500, NCO 2004: 2212.70 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Plant Pathologist belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division."
228,Plant Physiologist,2131.1800,2212.80,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Plant Physiologist belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division.","The occupation Plant Physiologist NCO 2015: 2131.1800, NCO 2004: 2212.80 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Plant Physiologist belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division."
229,"Biologist, General",2131.0100,2211.10,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Biologist, General belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division.","The occupation Biologist, General NCO 2015: 2131.0100, NCO 2004: 2211.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Biologist, General belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division."
230,"Biologists, Botanists, Zoologists and Related Professionals, Other",2131.9900,2211.90,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Biologists, Botanists, Zoologists and Related Professionals, Other belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division.","The occupation Biologists, Botanists, Zoologists and Related Professionals, Other NCO 2015: 2131.9900, NCO 2004: 2211.90 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Biologists, Botanists, Zoologists and Related Professionals, Other belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division."
231,Marine Biologist,2131.0200,2211.15,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Marine Biologist belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division.","The occupation Marine Biologist NCO 2015: 2131.0200, NCO 2004: 2211.15 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Marine Biologist belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division."
232,Cytologist,2131.0300,2211.20,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Cytologist belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division.","The occupation Cytologist NCO 2015: 2131.0300, NCO 2004: 2211.20 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Cytologist belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division."
233,"Botanist, General",2131.0400,2211.35,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Botanist, General belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division.","The occupation Botanist, General NCO 2015: 2131.0400, NCO 2004: 2211.35 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Botanist, General belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division."
234,Economic Botanist,2131.0500,2211.37,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Economic Botanist belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division.","The occupation Economic Botanist NCO 2015: 2131.0500, NCO 2004: 2211.37 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Economic Botanist belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division."
235,Plant Breeder,2131.0600,2211.40,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Plant Breeder belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division.","The occupation Plant Breeder NCO 2015: 2131.0600, NCO 2004: 2211.40 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Plant Breeder belongs to the Biologists, Botanists, Zoologists and Related Professionals family under Life Sciences Professionals group in the Professionals division."
